
rho             theta           phi             
0.89210124452   -0.08257039729  0.00000000000   
0.89207875272   -0.08257437116  0.00000047544   
0.89205479400   -0.08257860480  0.00000098198   
0.89203059043   -0.08258288234  0.00000149381   
0.89200614968   -0.08258720243  0.00000201075   
0.89198145939   -0.08259156728  0.00000253308   
0.89195653485   -0.08259597421  0.00000306048   
0.89193135970   -0.08260042613  0.00000359329   
0.89190592469   -0.08260492469  0.00000413171   
0.89188024335   -0.08260946753  0.00000467546   
0.89185431670   -0.08261405448  0.00000522453   
0.89182813438   -0.08261868741  0.00000577913   
0.89180170230   -0.08262336528  0.00000633915   
0.89177501160   -0.08262808968  0.00000690477   
0.89174806289   -0.08263286054  0.00000747598   
0.89172085563   -0.08263767796  0.00000805281   
0.89169338304   -0.08264254318  0.00000863540   
0.89166565478   -0.08264745451  0.00000922354   
0.89163764993   -0.08265241567  0.00000981769   
0.89160938769   -0.08265742329  0.00001041745   
0.89158085048   -0.08266248051  0.00001102318   
0.89155204913   -0.08266758543  0.00001163467   
0.89152296475   -0.08267274144  0.00001225231   
0.89149361397   -0.08267794560  0.00001287577   
0.89146399758   -0.08268319781  0.00001350502   
0.89143410427   -0.08268850010  0.00001414032   
0.89140393039   -0.08269385314  0.00001478174   
0.89137347338   -0.08269925742  0.00001542935   
0.89134273677   -0.08270471233  0.00001608307   
0.89131172272   -0.08271021753  0.00001674286   
0.89128041579   -0.08271577577  0.00001740906   
0.89124882249   -0.08272138595  0.00001808153   
0.89121696137   -0.08272704479  0.00001875989   
0.89118480339   -0.08273275749  0.00001944475   
0.89115234302   -0.08273852504  0.00002013623   
0.89111960421   -0.08274434325  0.00002083384   
0.89108656234   -0.08275021650  0.00002153811   
0.89105323605   -0.08275614152  0.00002224864   
0.89101959821   -0.08276212317  0.00002296601   
0.89098566026   -0.08276815944  0.00002368999   
0.89095141939   -0.08277425088  0.00002442064   
0.89091688304   -0.08278039619  0.00002515782   
0.89088203121   -0.08278659897  0.00002590195   
0.89084688173   -0.08279285608  0.00002665265   
0.89081142640   -0.08279916901  0.00002741012   
0.89077565500   -0.08280553963  0.00002817457   
0.89073958336   -0.08281196515  0.00002894567   
0.89070319024   -0.08281844940  0.00002972388   
0.89066649054   -0.08282498975  0.00003050889   
0.89062948016   -0.08283158698  0.00003130080   
0.89059214582   -0.08283824350  0.00003209989   
0.89055449568   -0.08284495789  0.00003290600   
0.89051652305   -0.08285173138  0.00003371928   
0.89047822404   -0.08285856472  0.00003453981   
0.89043960857   -0.08286545617  0.00003536740   
0.89040067075   -0.08287240683  0.00003620217   
0.89036139114   -0.08287942022  0.00003704455   
0.89032179029   -0.08288649270  0.00003789410   
0.89028186821   -0.08289362432  0.00003875084   
0.89024160766   -0.08290081821  0.00003961514   
0.89020100843   -0.08290807446  0.00004048702   
0.89016008106   -0.08291539121  0.00004136624   
0.89011881648   -0.08292277016  0.00004225303   
0.89007720289   -0.08293021344  0.00004314763   
