t, 560.5, 560.5_err, 550.0, 550.0_err, 529.5, 529.5_err, 505.0, 505.0_err, 481.0, 481.0_err, 457.5, 457.5_err, 434.0, 434.0_err, 412.0, 412.0_err, 391.5, 391.5_err, 371.0, 371.0_err
ms, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3, m-3
173.5, 2.58e+19, 6.42e+17, 2.83e+19, 6.53e+17, 3.54e+19, 4.96e+17, 4.85e+19, 5.89e+17, 5.37e+19, 5.80e+17, 5.02e+19, 5.94e+17, 5.36e+19, 5.49e+17, 5.26e+19, 5.46e+17, 5.16e+19, 5.49e+17, 5.50e+19, 5.52e+17
176.6, 2.24e+19, 6.14e+17, 2.82e+19, 6.79e+17, 3.86e+19, 5.23e+17, 5.49e+19, 6.32e+17, 6.07e+19, 6.15e+17, 5.78e+19, 6.23e+17, 6.27e+19, 5.91e+17, 6.15e+19, 5.90e+17, 6.03e+19, 5.90e+17, 6.07e+19, 5.80e+17
179.6, 2.50e+19, 6.47e+17, 2.87e+19, 6.79e+17, 4.17e+19, 5.37e+17, 5.75e+19, 6.41e+17, 6.73e+19, 6.57e+17, 6.42e+19, 6.54e+17, 6.98e+19, 6.22e+17, 6.96e+19, 6.26e+17, 6.70e+19, 6.18e+17, 6.60e+19, 6.07e+17
182.6, 2.13e+19, 5.93e+17, 2.82e+19, 6.64e+17, 4.07e+19, 5.29e+17, 5.53e+19, 6.27e+17, 6.64e+19, 6.40e+17, 6.35e+19, 6.53e+17, 6.73e+19, 6.09e+17, 6.94e+19, 6.20e+17, 6.68e+19, 6.22e+17, 6.50e+19, 6.01e+17
185.7, 2.69e+19, 6.57e+17, 3.27e+19, 7.12e+17, 4.29e+19, 5.45e+17, 5.71e+19, 6.42e+17, 6.51e+19, 6.48e+17, 6.24e+19, 6.42e+17, 6.29e+19, 5.96e+17, 6.31e+19, 5.99e+17, 6.11e+19, 6.05e+17, 6.09e+19, 5.89e+17
188.7, 2.56e+19, 6.52e+17, 3.33e+19, 7.41e+17, 4.62e+19, 5.72e+17, 6.16e+19, 6.74e+17, 7.56e+19, 7.04e+17, 6.99e+19, 6.89e+17, 7.63e+19, 6.47e+17, 7.48e+19, 6.54e+17, 7.18e+19, 6.48e+17, 7.47e+19, 6.43e+17
191.7, 2.41e+19, 6.38e+17, 2.85e+19, 6.84e+17, 4.15e+19, 5.38e+17, 6.19e+19, 6.63e+17, 7.34e+19, 6.79e+17, 7.21e+19, 6.93e+17, 7.39e+19, 6.41e+17, 7.59e+19, 6.56e+17, 7.42e+19, 6.56e+17, 7.18e+19, 6.33e+17
194.8, 2.58e+19, 6.46e+17, 3.11e+19, 7.01e+17, 3.94e+19, 5.23e+17, 5.53e+19, 6.38e+17, 6.93e+19, 6.55e+17, 6.94e+19, 6.77e+17, 6.93e+19, 6.28e+17, 6.82e+19, 6.20e+17, 6.78e+19, 6.31e+17, 6.74e+19, 6.16e+17
197.8, 2.18e+19, 6.15e+17, 2.96e+19, 6.90e+17, 4.00e+19, 5.30e+17, 5.84e+19, 6.48e+17, 6.57e+19, 6.36e+17, 6.45e+19, 6.54e+17, 6.45e+19, 6.05e+17, 6.66e+19, 6.07e+17, 6.50e+19, 6.16e+17, 6.42e+19, 6.06e+17
200.8, 2.20e+19, 6.20e+17, 2.58e+19, 6.55e+17, 4.00e+19, 5.29e+17, 6.01e+19, 6.56e+17, 7.01e+19, 6.56e+17, 7.31e+19, 6.85e+17, 7.76e+19, 6.51e+17, 8.17e+19, 6.72e+17, 7.52e+19, 6.54e+17, 7.42e+19, 6.42e+17
