
rho             theta           phi             
0.89210124452   -0.08257039729  0.00000000000   
0.89207594475   -0.08257484997  0.00000052937   
0.89204610661   -0.08258010174  0.00000115374   
0.89201604714   -0.08258539285  0.00000178279   
0.89198572113   -0.08259073126  0.00000241747   
0.89195505259   -0.08259613036  0.00000305937   
0.89192409680   -0.08260158043  0.00000370734   
0.89189288948   -0.08260707520  0.00000436062   
0.89186134466   -0.08261262980  0.00000502102   
0.89182949406   -0.08261823868  0.00000568788   
0.89179727280   -0.08262391327  0.00000636256   
0.89176469671   -0.08262965079  0.00000704473   
0.89173181750   -0.08263544216  0.00000773330   
0.89169863430   -0.08264128754  0.00000842830   
0.89166518021   -0.08264718110  0.00000912903   
0.89163143708   -0.08265312606  0.00000983589   
0.89159733166   -0.08265913534  0.00001055039   
0.89156290091   -0.08266520244  0.00001127178   
0.89152814416   -0.08267132750  0.00001200006   
0.89149303859   -0.08267751454  0.00001273572   
0.89145766988   -0.08268374849  0.00001347696   
0.89142199251   -0.08269003738  0.00001422474   
0.89138595127   -0.08269639095  0.00001498022   
0.89134955550   -0.08270280759  0.00001574320   
0.89131289638   -0.08270927121  0.00001651177   
0.89127607179   -0.08271576459  0.00001728389   
0.89123875786   -0.08272234483  0.00001806635   
0.89120122380   -0.08272896450  0.00001885350   
0.89116337660   -0.08273563999  0.00001964730   
0.89112518013   -0.08274237770  0.00002044850   
0.89108665666   -0.08274917372  0.00002125664   
0.89104794122   -0.08275600424  0.00002206890   
0.89100896304   -0.08276288175  0.00002288674   
0.89096970159   -0.08276980990  0.00002371062   
0.89093008928   -0.08277680062  0.00002454195   
0.89089024546   -0.08278383288  0.00002537822   
0.89084991322   -0.08279095202  0.00002622483   
0.89080935345   -0.08279811202  0.00002707631   
0.89076859374   -0.08280530802  0.00002793208   
0.89072737657   -0.08281258549  0.00002879754   
0.89068585942   -0.08281991667  0.00002966940   
0.89064408138   -0.08282729464  0.00003054684   
0.89060202984   -0.08283472167  0.00003143011   
0.89055957800   -0.08284222016  0.00003232190   
0.89051680001   -0.08284977704  0.00003322063   
0.89047385238   -0.08285736466  0.00003412303   
0.89043058613   -0.08286500937  0.00003503223   
0.89038709372   -0.08287269483  0.00003594629   
0.89034315389   -0.08288046018  0.00003686985   
0.89029895645   -0.08288827189  0.00003779894   
0.89025464418   -0.08289610472  0.00003873055   
0.89020989422   -0.08290401577  0.00003967147   
0.89016484551   -0.08291198049  0.00004061879   
0.89011950653   -0.08291999740  0.00004157232   
0.89007398872   -0.08292804682  0.00004252973   
0.89002805882   -0.08293617000  0.00004349593   
0.88998188158   -0.08294433784  0.00004446744   
0.88993547881   -0.08295254648  0.00004544382   
0.88988877491   -0.08296080932  0.00004642665   
0.88984172475   -0.08296913435  0.00004741690   
0.88979435443   -0.08297751699  0.00004841400   
0.88974674142   -0.08298594354  0.00004941634   
0.88969883979   -0.08299442215  0.00005042488   
0.88965077875   -0.08300292995  0.00005143691   
0.88960224977   -0.08301152159  0.00005245892   
0.88955342220   -0.08302016711  0.00005348735   
0.88950445644   -0.08302883811  0.00005451882   
0.88945504182   -0.08303758964  0.00005555988   
0.88940541292   -0.08304638017  0.00005660560   
0.88935558017   -0.08305520786  0.00005765574   
0.88930546050   -0.08306408745  0.00005871207   
0.88925509425   -0.08307301180  0.00005977374   
0.88920459467   -0.08308196087  0.00006083836   
0.88915361267   -0.08309099654  0.00006191330   
0.88910239498   -0.08310007509  0.00006299335   
0.88905096767   -0.08310919193  0.00006407796   
0.88899909162   -0.08311838947  0.00006517219   
0.88894710010   -0.08312760864  0.00006626901   
0.88889477637   -0.08313688788  0.00006737298   
0.88884215757   -0.08314622063  0.00006848333   
0.88878921945   -0.08315561121  0.00006960058   
0.88873616664   -0.08316502334  0.00007072040   
0.88868289574   -0.08317447538  0.00007184499   
0.88862916639   -0.08318400999  0.00007297941   
0.88857526583   -0.08319357622  0.00007411761   
0.88852102304   -0.08320320446  0.00007526320   
0.88846662265   -0.08321286193  0.00007641228   
0.88841184036   -0.08322258848  0.00007756959   
0.88835686846   -0.08323234999  0.00007873108   
0.88830172081   -0.08324214402  0.00007989645   
0.88824611135   -0.08325202138  0.00008107175   
0.88819034182   -0.08326192851  0.00008225061   
0.88813427935   -0.08327188902  0.00008343583   
0.88807794515   -0.08328189917  0.00008462697   
0.88802141503   -0.08329194550  0.00008582244   
0.88796458668   -0.08330204621  0.00008702439   
0.88790742211   -0.08331220809  0.00008823363   
0.88785010138   -0.08332239914  0.00008944636   
0.88779258535   -0.08333262633  0.00009066340   
0.88773463123   -0.08334293286  0.00009188990   
0.88767651016   -0.08335327053  0.00009312013   
0.88761821909   -0.08336363989  0.00009435414   
0.88755962775   -0.08337406415  0.00009559469   
0.88750079066   -0.08338453362  0.00009684065   
0.88744182629   -0.08339502723  0.00009808949   
0.88738252413   -0.08340558246  0.00009934568   
0.88732296542   -0.08341618489  0.00010060751   
0.88726309267   -0.08342684476  0.00010187618   
0.88720303272   -0.08343753951  0.00010314903   
0.88714262823   -0.08344829718  0.00010442938   
0.88708208154   -0.08345908176  0.00010571294   
0.88702124148   -0.08346992019  0.00010700294   
0.88696014906   -0.08348080518  0.00010829849   
0.88689890875   -0.08349171814  0.00010959739   
0.88683726024   -0.08350270547  0.00011090515   
0.88677545817   -0.08351372183  0.00011221639   
0.88671339582   -0.08352478624  0.00011353337   
0.88665105177   -0.08353590254  0.00011485654   
0.88658849130   -0.08354705913  0.00011618452   
0.88652569814   -0.08355825891  0.00011751766   
0.88646258113   -0.08356951817  0.00011885790   
0.88639928798   -0.08358081059  0.00012020210   
0.88633574897   -0.08359214861  0.00012155175   
0.88627182931   -0.08360355633  0.00012290971   
0.88620777005   -0.08361499073  0.00012427087   
0.88614347299   -0.08362646937  0.00012563731   
0.88607876256   -0.08363802361  0.00012701277   
0.88601390245   -0.08364960640  0.00012839165   
0.88594882743   -0.08366122941  0.00012977533   
0.88588363140   -0.08367287587  0.00013116182   
0.88581813675   -0.08368457753  0.00013255491   
0.88575250721   -0.08369630516  0.00013395110   
0.88568656631   -0.08370809031  0.00013535416   
0.88562033156   -0.08371992988  0.00013676372   
0.88555389100   -0.08373180815  0.00013817790   
0.88548717059   -0.08374373839  0.00013959830   
0.88542027770   -0.08375570140  0.00014102261   
0.88535307394   -0.08376772198  0.00014245380   
0.88528574081   -0.08377976766  0.00014388799   
0.88521809435   -0.08379187139  0.00014532912   
0.88515020412   -0.08380402073  0.00014677569   
0.88508206462   -0.08381621670  0.00014822784   
0.88501390320   -0.08382841862  0.00014968072   
0.88494535005   -0.08384069270  0.00015114221   
0.88487653859   -0.08385301509  0.00015260947   
0.88480745408   -0.08386538846  0.00015408282   
0.88473833511   -0.08387777008  0.00015555718   
0.88466875142   -0.08389023705  0.00015704172   
0.88459904484   -0.08390272816  0.00015852915   
0.88452898763   -0.08391528423  0.00016002434   
0.88445882960   -0.08392786053  0.00016152196   
0.88438836462   -0.08394049401  0.00016302641   
0.88431766530   -0.08395317168  0.00016453615   
0.88424683208   -0.08396587556  0.00016604902   
0.88417577129   -0.08397862245  0.00016756704   
0.88410434547   -0.08399143705  0.00016909315   
0.88403261772   -0.08400430807  0.00017062599   
0.88396084859   -0.08401718876  0.00017216001   
0.88388879092   -0.08403012351  0.00017370049   
