
rho             theta           phi             
0.93910920386   -0.07990668819  0.00000000000   
0.93904891416   -0.07991692462  0.00000116270   
0.93896779104   -0.07993070009  0.00000272743   
0.93888624056   -0.07994455020  0.00000430069   
0.93880469658   -0.07995840127  0.00000587411   
0.93872315987   -0.07997225317  0.00000744768   
0.93864146799   -0.07998613351  0.00000902453   
0.93855959436   -0.08000004682  0.00001060518   
0.93847791081   -0.08001392991  0.00001218246   
0.93839597106   -0.08002785864  0.00001376497   
0.93831399447   -0.08004179572  0.00001534848   
0.93823196673   -0.08005574359  0.00001693327   
0.93814989741   -0.08006970063  0.00001851916   
0.93806782478   -0.08008366034  0.00002010541   
0.93798562511   -0.08009764376  0.00002169440   
0.93790343902   -0.08011162698  0.00002328343   
0.93782137595   -0.08012559137  0.00002487037   
0.93773899882   -0.08013961132  0.00002646368   
0.93765654520   -0.08015364641  0.00002805876   
0.93757417011   -0.08016767025  0.00002965261   
0.93749161998   -0.08018172602  0.00003125015   
0.93740907157   -0.08019578362  0.00003284796   
0.93732648340   -0.08020985012  0.00003444682   
0.93724382982   -0.08022392990  0.00003604725   
0.93716118840   -0.08023800974  0.00003764775   
0.93707854183   -0.08025209260  0.00003924863   
0.93699589949   -0.08026617687  0.00004084974   
0.93691313793   -0.08028028360  0.00004245345   
0.93683029610   -0.08029440616  0.00004405901   
0.93674740610   -0.08030853908  0.00004566581   
0.93666444095   -0.08032268696  0.00004727436   
0.93658139904   -0.08033685010  0.00004888470   
0.93649839557   -0.08035100883  0.00005049459   
0.93641533189   -0.08036518000  0.00005210595   
0.93633202751   -0.08037939440  0.00005372228   
0.93624878630   -0.08039360020  0.00005533769   
0.93616526376   -0.08040785618  0.00005695886   
0.93608181534   -0.08042210170  0.00005857889   
0.93599819443   -0.08043637886  0.00006020257   
0.93591458214   -0.08045065674  0.00006182639   
0.93583118001   -0.08046490091  0.00006344644   
0.93574735830   -0.08047921895  0.00006507493   
0.93566371138   -0.08049350932  0.00006670034   
0.93558011742   -0.08050779284  0.00006832502   
0.93549621571   -0.08052213115  0.00006995599   
0.93541229591   -0.08053647476  0.00007158761   
0.93532829174   -0.08055083501  0.00007322118   
0.93524425806   -0.08056520252  0.00007485564   
0.93516028696   -0.08057956155  0.00007648918   
0.93507604307   -0.08059396945  0.00007812834   
0.93499196148   -0.08060835182  0.00007976464   
0.93490786362   -0.08062273919  0.00008140157   
0.93482356367   -0.08063716337  0.00008304275   
0.93473927625   -0.08065158764  0.00008468398   
0.93465472414   -0.08066605945  0.00008633069   
0.93457032983   -0.08068050650  0.00008797463   
0.93448570240   -0.08069499571  0.00008962342   
0.93440108577   -0.08070948532  0.00009127231   
0.93431654319   -0.08072396450  0.00009292007   
0.93423191418   -0.08073846073  0.00009456983   
0.93414732217   -0.08075295289  0.00009621917   
0.93406241936   -0.08076750056  0.00009787489   
0.93397747781   -0.08078205713  0.00009953168   
0.93389238013   -0.08079664275  0.00010119183   
0.93380748938   -0.08081119517  0.00010284825   
0.93372250225   -0.08082576639  0.00010450687   
0.93363743845   -0.08084035304  0.00010616731   
0.93355245752   -0.08085492775  0.00010782643   
0.93346728005   -0.08086953847  0.00010948971   
0.93338223206   -0.08088412925  0.00011115078   
0.93329696774   -0.08089875944  0.00011281639   
0.93321167368   -0.08091339703  0.00011448289   
0.93312628817   -0.08092805262  0.00011615150   
0.93304085411   -0.08094271884  0.00011782138   
0.93295530066   -0.08095740787  0.00011949391   
0.93286963653   -0.08097211822  0.00012116892   
0.93278395146   -0.08098683449  0.00012284466   
0.93269825632   -0.08100155481  0.00012452091   
0.93261244944   -0.08101629665  0.00012619967   
0.93252666453   -0.08103103704  0.00012787833   
0.93244087741   -0.08104578014  0.00012955734   
0.93235509032   -0.08106052556  0.00013123668   
0.93234648000   -0.08106200567  0.00013140525   
0.93234240677   -0.08106270586  0.00013148499   
0.93234043107   -0.08106304549  0.00013152367   
0.93233055174   -0.08106474378  0.00013171710   
0.93232561157   -0.08106559303  0.00013181382   
0.93232536456   -0.08106563549  0.00013181865   
0.93232412946   -0.08106584781  0.00013184284   
0.93232351190   -0.08106595397  0.00013185493   
0.93232348102   -0.08106595928  0.00013185553   
0.93232332663   -0.08106598582  0.00013185855   
0.93232324944   -0.08106599909  0.00013186006   
0.93232324558   -0.08106599976  0.00013186014   
0.93232324362   -0.08106600009  0.00013186018   
0.93232323384   -0.08106600178  0.00013186037   
0.93232323268   -0.08106600197  0.00013186039   
0.93232323242   -0.08106600202  0.00013186040   
0.93232323237   -0.08106600203  0.00013186040   
0.93232323233   -0.08106600203  0.00013186040   
0.93232323232   -0.08106600204  0.00013186040   
0.93232323231   -0.08106600204  0.00013186040   
0.93232323230   -0.08106600204  0.00013186040   
0.93232323224   -0.08106600205  0.00013186040   
0.93232323193   -0.08106600210  0.00013186041   
0.93232323041   -0.08106600236  0.00013186044   
0.93232322281   -0.08106600367  0.00013186059   
0.93232318479   -0.08106601021  0.00013186133   
0.93232299470   -0.08106604289  0.00013186505   
0.93232204423   -0.08106620628  0.00013188366   
0.93231729166   -0.08106702329  0.00013197671   
0.93229352377   -0.08107110930  0.00013244208   
0.93221895016   -0.08108393066  0.00013390237   
0.93213369513   -0.08109859063  0.00013557212   
0.93204832839   -0.08111327213  0.00013724438   
0.93196283325   -0.08112797803  0.00013891947   
0.93187729229   -0.08114269414  0.00014059579   
0.93179188771   -0.08115738912  0.00014226976   
0.93170638386   -0.08117210350  0.00014394599   
0.93162062145   -0.08118686471  0.00014562762   
0.93153505431   -0.08120159465  0.00014730574   
0.93144932866   -0.08121635421  0.00014898729   
0.93136355497   -0.08123112439  0.00015067011   
0.93127777877   -0.08124589735  0.00015235331   
0.93119187373   -0.08126069484  0.00015403935   
0.93110588430   -0.08127550923  0.00015572738   
0.93101972013   -0.08129035609  0.00015741917   
0.93093375905   -0.08130517031  0.00015910730   
0.93084746336   -0.08132004457  0.00016080232   
0.93076123678   -0.08133490930  0.00016249632   
0.93067495987   -0.08134978507  0.00016419163   
0.93058844793   -0.08136470375  0.00016589189   
0.93050205524   -0.08137960426  0.00016759014   
0.93041541050   -0.08139455063  0.00016929367   
0.93032877042   -0.08140949859  0.00017099745   
0.93024211465   -0.08142445167  0.00017270186   
0.93015549496   -0.08143940091  0.00017440589   
0.93006894733   -0.08145434011  0.00017610884   
0.92998222766   -0.08146931142  0.00017781550   
0.92989534147   -0.08148431388  0.00017952578   
0.92980841225   -0.08149932619  0.00018123723   
0.92972140112   -0.08151435507  0.00018295063   
0.92963444155   -0.08152937746  0.00018466335   
0.92954726065   -0.08154444052  0.00018638077   
0.92946016562   -0.08155949117  0.00018809682   
0.92937297669   -0.08157456048  0.00018981507   
0.92928568877   -0.08158964934  0.00019153560   
0.92919836254   -0.08160474727  0.00019325722   
0.92911078942   -0.08161989033  0.00019498405   
0.92902325212   -0.08163502966  0.00019671051   
0.92893584047   -0.08165014971  0.00019843483   
0.92884836947   -0.08166528248  0.00020016066   
0.92876069756   -0.08168045247  0.00020189079   
0.92867288470   -0.08169564932  0.00020362404   
0.92858510085   -0.08171084362  0.00020535706   
0.92849729324   -0.08172604451  0.00020709089   
0.92840954050   -0.08174123838  0.00020882398   
0.92832163989   -0.08175646033  0.00021056033   
0.92823368857   -0.08177169354  0.00021229802   
0.92814565420   -0.08178694363  0.00021403770   
0.92805755892   -0.08180220676  0.00021577892   
0.92796925151   -0.08181750915  0.00021752468   
0.92788100841   -0.08183280291  0.00021926951   
0.92779281645   -0.08184809030  0.00022101368   
0.92770457020   -0.08186338960  0.00022275926   
0.92761622192   -0.08187870911  0.00022450720   
0.92752765939   -0.08189406828  0.00022625973   
0.92743905117   -0.08190943791  0.00022801352   
0.92735049260   -0.08192480145  0.00022976666   
0.92726187658   -0.08194017749  0.00023152129   
0.92717328043   -0.08195555261  0.00023327588   
0.92708449254   -0.08197096354  0.00023503461   
0.92699566557   -0.08198638380  0.00023679446   
0.92690665307   -0.08200183881  0.00023855834   
0.92681768399   -0.08201728884  0.00024032170   
0.92672849834   -0.08203277905  0.00024208972   
0.92663938515   -0.08204825923  0.00024385664   
0.92655023286   -0.08206374877  0.00024562470   
0.92646090999   -0.08207927051  0.00024739648   
0.92637171293   -0.08209477297  0.00024916613   
0.92628231074   -0.08211031365  0.00025094020   
0.92619273799   -0.08212588657  0.00025271800   
0.92610317539   -0.08214146032  0.00025449597   
0.92601356170   -0.08215704555  0.00025627530   
0.92592393471   -0.08217263569  0.00025805525   
0.92583431463   -0.08218822722  0.00025983541   
0.92574459649   -0.08220383842  0.00026161788   
0.92565484320   -0.08221945833  0.00026340141   
0.92556504677   -0.08223508837  0.00026518615   
0.92547513913   -0.08225074037  0.00026697346   
0.92538512427   -0.08226641366  0.00026876326   
0.92529500404   -0.08228210793  0.00027055551   
0.92520485145   -0.08229781047  0.00027234877   
0.92511462746   -0.08231352807  0.00027414380   
0.92502425235   -0.08232927465  0.00027594221   
0.92493404113   -0.08234499531  0.00027773771   
0.92484367852   -0.08236074500  0.00027953659   
0.92475334333   -0.08237649256  0.00028133528   
0.92466279927   -0.08239227918  0.00028313849   
0.92457223984   -0.08240807115  0.00028494238   
0.92448165394   -0.08242387039  0.00028674715   
0.92439095533   -0.08243969196  0.00028855454   
0.92430028920   -0.08245551053  0.00029036164   
0.92420949921   -0.08247135339  0.00029217157   
0.92411850464   -0.08248723464  0.00029398595   
0.92402766793   -0.08250309101  0.00029579755   
0.92393656778   -0.08251899607  0.00029761477   
0.92384542867   -0.08253491062  0.00029943313   
0.92375414031   -0.08255085395  0.00030125484   
0.92366283982   -0.08256680211  0.00030307716   
0.92357170898   -0.08258272333  0.00030489646   
0.92348040571   -0.08259867739  0.00030671958   
0.92338893166   -0.08261466402  0.00030854647   
0.92329736544   -0.08263066948  0.00031037558   
0.92320592017   -0.08264665652  0.00031220264   
0.92311436463   -0.08266266557  0.00031403228   
0.92302282446   -0.08267867467  0.00031586198   
0.92293106019   -0.08269472569  0.00031769653   
0.92283934261   -0.08271077130  0.00031953053   
0.92274731230   -0.08272687437  0.00032137115   
0.92265542993   -0.08274295431  0.00032320918   
0.92256359233   -0.08275902916  0.00032504670   
0.92247150798   -0.08277514998  0.00032688952   
0.92237948469   -0.08279126286  0.00032873151   
0.92228741729   -0.08280738624  0.00033057475   
0.92219526077   -0.08282352799  0.00033242015   
0.92210297115   -0.08283969584  0.00033426859   
0.92201072463   -0.08285585892  0.00033611655   
0.92191836003   -0.08287204548  0.00033796725   
0.92182598819   -0.08288823609  0.00033981847   
0.92173352955   -0.08290444471  0.00034167181   
0.92164106896   -0.08292065647  0.00034352557   
0.92154836726   -0.08293691331  0.00034538455   
0.92145582168   -0.08295314558  0.00034724077   
0.92136311300   -0.08296940927  0.00034910065   
0.92127027255   -0.08298569889  0.00035096355   
0.92117734822   -0.08300200605  0.00035282852   
0.92108442699   -0.08301831551  0.00035469381   
0.92099164156   -0.08303460394  0.00035655676   
0.92089854148   -0.08305095046  0.00035842641   
0.92080534364   -0.08306731698  0.00036029840   
0.92071198043   -0.08308371540  0.00036217411   
0.92061875393   -0.08310009265  0.00036404745   
0.92052550891   -0.08311647602  0.00036592156   
0.92043216990   -0.08313287875  0.00036779793   
0.92033868392   -0.08314931018  0.00036967765   
0.92024520484   -0.08316574327  0.00037155762   
0.92015142561   -0.08318223200  0.00037344402   
0.92005768286   -0.08319871721  0.00037533007   
0.91996388877   -0.08321521434  0.00037721754   
0.91987009991   -0.08323171343  0.00037910530   
0.91977620239   -0.08324823454  0.00038099564   
0.91968238048   -0.08326474524  0.00038288485   
0.91958828547   -0.08328130691  0.00038477995   
0.91949440481   -0.08329783376  0.00038667112   
0.91940019990   -0.08331442060  0.00038856922   
0.91930610599   -0.08333099081  0.00039046548   
0.91921182512   -0.08334759688  0.00039236590   
0.91920239537   -0.08334925794  0.00039255600   
0.91919806044   -0.08335002155  0.00039264339   
0.91919589289   -0.08335040337  0.00039268708   
0.91919480909   -0.08335059429  0.00039270893   
0.91919426719   -0.08335068975  0.00039271986   
0.91919399623   -0.08335073748  0.00039272532   
0.91919264145   -0.08335097613  0.00039275263   
0.91919196405   -0.08335109546  0.00039276629   
0.91919193018   -0.08335110142  0.00039276697   
0.91919192845   -0.08335110173  0.00039276701   
0.91919191979   -0.08335110326  0.00039276718   
0.91919191956   -0.08335110330  0.00039276719   
0.91919191931   -0.08335110334  0.00039276719   
0.91919191921   -0.08335110336  0.00039276719   
0.91919191920   -0.08335110336  0.00039276719   
0.91919191919   -0.08335110336  0.00039276719   
0.91919191918   -0.08335110336  0.00039276719   
0.91919191917   -0.08335110336  0.00039276719   
0.91919191912   -0.08335110337  0.00039276720   
0.91919191884   -0.08335110342  0.00039276720   
0.91919191748   -0.08335110366  0.00039276723   
0.91919191069   -0.08335110486  0.00039276737   
0.91919187670   -0.08335111085  0.00039276805   
0.91919170677   -0.08335114078  0.00039277148   
0.91919085712   -0.08335129045  0.00039278861   
0.91918660873   -0.08335203883  0.00039287425   
0.91916536313   -0.08335578149  0.00039330258   
0.91908317364   -0.08337026150  0.00039495977   
0.91898937648   -0.08338678927  0.00039685137   
0.91889584132   -0.08340327377  0.00039873809   
0.91880235545   -0.08341975248  0.00040062421   
0.91870870202   -0.08343626363  0.00040251410   
0.91861503026   -0.08345278092  0.00040440475   
0.91852100674   -0.08346936316  0.00040630291   
0.91842708184   -0.08348593093  0.00040819947   
0.91833324412   -0.08350248625  0.00041009467   
0.91823926755   -0.08351906899  0.00041199307   
0.91814515284   -0.08353567904  0.00041389466   
0.91805101341   -0.08355229640  0.00041579714   
0.91795678549   -0.08356893232  0.00041770182   
0.91786243076   -0.08358559358  0.00041960946   
0.91776812020   -0.08360225001  0.00042151661   
0.91767370427   -0.08361892799  0.00042342629   
0.91757932944   -0.08363560169  0.00042533554   
0.91748485540   -0.08365229587  0.00042724720   
0.91739037230   -0.08366899462  0.00042915945   
0.91729561101   -0.08368574553  0.00043107773   
0.91720071878   -0.08370252257  0.00043299907   
0.91710606365   -0.08371926068  0.00043491601   
0.91701132987   -0.08373601568  0.00043683495   
0.91691631274   -0.08375282380  0.00043876003   
0.91682122316   -0.08376964775  0.00044068699   
0.91672612746   -0.08378647579  0.00044261448   
0.91663099757   -0.08380331289  0.00044454308   
0.91653572344   -0.08382017855  0.00044647501   
0.91644057711   -0.08383702461  0.00044840475   
0.91634524381   -0.08385390680  0.00045033870   
0.91624983632   -0.08387080516  0.00045227456   
0.91615427841   -0.08388773320  0.00045421388   
0.91605867979   -0.08390467152  0.00045615445   
0.91596292439   -0.08392164066  0.00045809861   
0.91586718271   -0.08393861044  0.00046004291   
0.91577128982   -0.08395561009  0.00046199069   
0.91567540750   -0.08397261093  0.00046393867   
0.91557953121   -0.08398961378  0.00046588694   
0.91548358740   -0.08400663168  0.00046783700   
0.91538738511   -0.08402369852  0.00046979274   
0.91529142606   -0.08404072529  0.00047174394   
0.91519516787   -0.08405780824  0.00047370164   
0.91509889719   -0.08407489650  0.00047566002   
