
rho             theta           phi             
0.89210124452   -0.08257039729  0.00000000000   
0.89207485642   -0.08257504109  0.00000055200   
0.89204613523   -0.08258009579  0.00000115285   
0.89201745663   -0.08258514333  0.00000175285   
0.89198844565   -0.08259024971  0.00000235985   
0.89195900800   -0.08259543155  0.00000297582   
0.89192936816   -0.08260064933  0.00000359607   
0.89189950160   -0.08260590738  0.00000422110   
0.89186919896   -0.08261124257  0.00000485532   
0.89183867150   -0.08261661773  0.00000549428   
0.89180784885   -0.08262204524  0.00000613947   
0.89177679615   -0.08262751366  0.00000678953   
0.89174553298   -0.08263301953  0.00000744405   
0.89171396313   -0.08263857983  0.00000810504   
0.89168214274   -0.08264418465  0.00000877132   
0.89165002121   -0.08264984294  0.00000944397   
0.89161770138   -0.08265553659  0.00001012082   
0.89158515688   -0.08266127024  0.00001080243   
0.89155232710   -0.08266705459  0.00001149008   
0.89151922250   -0.08267288781  0.00001218353   
0.89148576506   -0.08267878365  0.00001288444   
0.89145212529   -0.08268471208  0.00001358922   
0.89141826181   -0.08269068041  0.00001429875   
0.89138403524   -0.08269671320  0.00001501596   
0.89134954764   -0.08270279248  0.00001573869   
0.89131488959   -0.08270890230  0.00001646505   
0.89127996749   -0.08271505916  0.00001719702   
0.89124466733   -0.08272128319  0.00001793697   
0.89120913662   -0.08272754837  0.00001868182   
0.89117338595   -0.08273385286  0.00001943135   
0.89113744322   -0.08274019175  0.00002018497   
0.89110122154   -0.08274658036  0.00002094452   
0.89106473036   -0.08275301705  0.00002170978   
0.89102790336   -0.08275951353  0.00002248215   
0.89099091672   -0.08276603872  0.00002325794   
0.89095373865   -0.08277259825  0.00002403783   
0.89091633343   -0.08277919843  0.00002482254   
0.89087852763   -0.08278586987  0.00002561574   
0.89084051859   -0.08279257776  0.00002641328   
0.89080220801   -0.08279933947  0.00002721722   
0.89076377892   -0.08280612270  0.00002802372   
0.89072504987   -0.08281295948  0.00002883660   
0.89068600420   -0.08281985278  0.00002965620   
0.89064697283   -0.08282674418  0.00003047559   
0.89060752174   -0.08283371031  0.00003130386   
0.89056778704   -0.08284072717  0.00003213817   
0.89052784460   -0.08284778136  0.00003297693   
0.89048772801   -0.08285486697  0.00003381943   
0.89044737478   -0.08286199504  0.00003466698   
0.89040685746   -0.08286915276  0.00003551807   
0.89036601915   -0.08287636787  0.00003637598   
0.89032499472   -0.08288361655  0.00003723789   
0.89028360852   -0.08289092985  0.00003810749   
0.89024195546   -0.08289829102  0.00003898279   
0.89020015959   -0.08290567814  0.00003986119   
0.89015812041   -0.08291310898  0.00004074479   
0.89011567911   -0.08292061164  0.00004163693   
0.89007316235   -0.08292812838  0.00004253076   
0.89003044552   -0.08293568123  0.00004342888   
0.88998750206   -0.08294327491  0.00004433187   
0.88994430323   -0.08295091451  0.00004524033   
0.88990077293   -0.08295861350  0.00004615585   
0.88985712174   -0.08296633466  0.00004707402   
0.88981316550   -0.08297411056  0.00004799871   
0.88976917677   -0.08298189301  0.00004892418   
0.88972477081   -0.08298975007  0.00004985853   
0.88968016173   -0.08299764389  0.00005079726   
0.88963535530   -0.08300557346  0.00005174024   
0.88959025623   -0.08301355565  0.00005268950   
0.88954511540   -0.08302154606  0.00005363974   
0.88949954848   -0.08302961275  0.00005459905   
0.88945378195   -0.08303771563  0.00005556268   
0.88940796786   -0.08304582780  0.00005652742   
0.88936182159   -0.08305399965  0.00005749927   
0.88931560584   -0.08306218469  0.00005847269   
0.88926902960   -0.08307043446  0.00005945382   
0.88922229263   -0.08307871360  0.00006043845   
0.88917516581   -0.08308706271  0.00006143140   
0.88912800405   -0.08309541892  0.00006242521   
0.88908062937   -0.08310381378  0.00006342363   
0.88903305979   -0.08311224411  0.00006442627   
0.88898511380   -0.08312074208  0.00006543697   
0.88893695181   -0.08312927929  0.00006645234   
0.88888874110   -0.08313782610  0.00006746886   
0.88884022037   -0.08314642883  0.00006849204   
0.88879157398   -0.08315505482  0.00006951799   
0.88874263907   -0.08316373295  0.00007055016   
0.88869347550   -0.08317245263  0.00007158727   
0.88864396540   -0.08318123478  0.00007263182   
0.88859438205   -0.08319003093  0.00007367805   
0.88854443199   -0.08319889316  0.00007473215   
0.88849433888   -0.08320778180  0.00007578939   
0.88844411376   -0.08321669491  0.00007684956   
0.88839352325   -0.08322567392  0.00007791757   
0.88834289865   -0.08323466003  0.00007898644   
0.88829210016   -0.08324367808  0.00008005911   
0.88824098245   -0.08325275387  0.00008113867   
0.88818968374   -0.08326186288  0.00008222218   
